year,km_driven,fuel,seller_type,transmission,owner,BrandName,log_SellingPrice,is_outlier
2007,70000,Petrol,Individual,Manual,First Owner,Maruti,11.002116507732017,True
2005,80000,Diesel,Individual,Manual,First Owner,Tata,11.156264806643742,True
2017,6500,Diesel,Dealer,Automatic,First Owner,Mercedesbenz,15.913528607916424,True
2007,58000,Petrol,Dealer,Manual,Second Owner,Hyundai,11.289794413577894,True
2013,49000,Diesel,Dealer,Automatic,First Owner,Audi,14.845130332288226,True
2018,9800,Petrol,Dealer,Automatic,First Owner,Mercedesbenz,15.319588176962746,True
2015,3600,Diesel,Dealer,Manual,First Owner,Chevrolet,13.815511557963774,True
2010,40000,Petrol,Individual,Automatic,Second Owner,Jaguar,14.751604309291395,True
2005,120000,Petrol,Individual,Manual,Second Owner,Honda,11.51293546492023,True
2017,40000,Diesel,Individual,Automatic,First Owner,Bmw,14.88022163978423,True
2003,120000,Diesel,Individual,Manual,Second Owner,Tata,10.819798284210286,True
2014,100000,Diesel,Individual,Automatic,Second Owner,Mercedesbenz,15.29711532616119,True
2018,10000,Diesel,Dealer,Automatic,First Owner,Mercedesbenz,15.150511887854474,True
2019,30000,Diesel,Dealer,Automatic,First Owner,Bmw,15.414898336565054,True
2017,47162,Diesel,Trustmark Dealer,Automatic,First Owner,Toyota,14.77102238760702,True
2005,56580,Petrol,Dealer,Manual,First Owner,Hyundai,11.289794413577894,True
2013,27974,Petrol,Individual,Manual,First Owner,Tata,10.968215530759236,True
2007,195000,Diesel,Individual,Manual,Third Owner,Tata,10.915106645867503,True
2018,68000,Diesel,Individual,Automatic,First Owner,Land rover,15.201805169084134,True
2017,20000,Diesel,Individual,Automatic,First Owner,Toyota,14.845130332288226,True
2003,35000,Diesel,Individual,Manual,Second Owner,Fiat,10.915106645867503,True
2014,79500,Diesel,Individual,Automatic,Second Owner,Mercedesbenz,14.731801689838349,True
2013,40000,Petrol,Individual,Manual,First Owner,Tata,11.002116507732017,True
2011,19000,Petrol,Individual,Manual,First Owner,Tata,10.596659732783579,True
2010,58850,Petrol,Dealer,Manual,First Owner,Tata,11.225256725762893,True
2008,90000,Petrol,Individual,Manual,First Owner,Mahindra,11.289794413577894,True
2020,1500,Diesel,Individual,Automatic,First Owner,Audi,15.363073279446223,True
2014,47000,Diesel,Individual,Automatic,First Owner,Bmw,15.201805169084134,True
2018,68000,Petrol,Individual,Automatic,First Owner,Land rover,15.201805169084134,True
2017,30000,Diesel,Individual,Automatic,First Owner,Bmw,14.930652476452392,True
2006,100000,Diesel,Individual,Manual,First Owner,Tata,10.915106645867503,True
2018,22000,Petrol,Individual,Automatic,First Owner,Audi,14.946912992035967,True
2016,53000,Diesel,Dealer,Automatic,First Owner,Land rover,15.068273812173887,True
2017,73000,Diesel,Dealer,Automatic,First Owner,Chevrolet,13.76421831620775,True
2011,40000,Petrol,Individual,Manual,First Owner,Tata,11.002116507732017,True
2017,57000,Diesel,Individual,Automatic,First Owner,Toyota,14.978661680269907,True
2006,100000,Diesel,Individual,Manual,Second Owner,Tata,10.915106645867503,True
2001,30000,Petrol,Individual,Manual,First Owner,Maruti,10.596659732783579,True
2000,60000,Petrol,Individual,Manual,First Owner,Maruti,10.819798284210286,True
2015,35000,Diesel,Individual,Automatic,Third Owner,Audi,14.648420115681892,True
2006,120000,Diesel,Individual,Manual,Fourth & Above Owner,Tata,10.819798284210286,True
2018,40000,Diesel,Individual,Automatic,First Owner,Toyota,14.845130332288226,True
2019,17000,Diesel,Dealer,Automatic,First Owner,Audi,14.996010313229828,True
2012,50000,Diesel,Individual,Automatic,Second Owner,Jaguar,14.403297778421795,True
2005,120000,Diesel,Individual,Manual,First Owner,Tata,11.156264806643742,True
2017,18469,Petrol,Trustmark Dealer,Manual,First Owner,Hyundai,12.660331092405906,True
2017,79641,Diesel,Trustmark Dealer,Automatic,First Owner,Toyota,14.769097459938507,True
2015,35000,Diesel,Individual,Automatic,First Owner,Audi,15.068273812173887,True
2006,120000,Diesel,Individual,Manual,Second Owner,Tata,10.714439990727769,True
2012,35000,Petrol,Individual,Manual,Third Owner,Tata,10.463131911491967,True
2000,50000,Petrol,Individual,Manual,First Owner,Maruti,11.002116507732017,True
2006,80000,Diesel,Individual,Manual,Second Owner,Tata,10.950824090522445,True
2003,35000,Petrol,Individual,Manual,First Owner,Maruti,11.002116507732017,True
2008,70000,Petrol,Individual,Manual,First Owner,Chevrolet,10.819798284210286,True
2011,9528,Petrol,Dealer,Manual,First Owner,Tata,11.225256725762893,True
2005,68500,Petrol,Dealer,Manual,First Owner,Hyundai,11.156264806643742,True
2018,22000,Diesel,Dealer,Automatic,First Owner,Audi,15.176230924440722,True
1998,60000,Petrol,Dealer,Manual,Third Owner,Maruti,11.082157933374816,True
2003,120000,Petrol,Individual,Automatic,Second Owner,Toyota,11.461642696843066,True
2004,60000,Petrol,Individual,Manual,Third Owner,Maruti,10.308985993422082,True
2000,42743,Petrol,Dealer,Manual,Third Owner,Ford,9.99884318585288,True
2019,20000,Diesel,Individual,Automatic,First Owner,Ford,14.978661680269907,True
2005,25000,Petrol,Individual,Manual,Second Owner,Ford,9.90353755128617,True
2003,50000,Petrol,Individual,Manual,First Owner,Maruti,11.002116507732017,True
2010,90000,Petrol,Individual,Manual,First Owner,Tata,10.596659732783579,True
2001,70000,Petrol,Individual,Manual,First Owner,Maruti,11.034905792929415,True
2009,50000,Petrol,Individual,Manual,Third Owner,Tata,10.463131911491967,True
2002,120000,Diesel,Individual,Manual,Fourth & Above Owner,Ambassador,10.819798284210286,True
2007,100000,CNG,Individual,Manual,Fourth & Above Owner,Maruti,10.714439990727769,True
2018,56000,Diesel,Dealer,Automatic,First Owner,Ford,14.79946031214395,True
2017,60000,Diesel,Dealer,Automatic,First Owner,Ford,14.79946031214395,True
2005,80000,Petrol,Individual,Manual,Third Owner,Ford,10.819798284210286,True
2006,110000,Petrol,Individual,Automatic,Second Owner,Bmw,13.081543466215237,True
2014,40000,Petrol,Individual,Manual,First Owner,Tata,10.915106645867503,True
2001,100000,Diesel,Individual,Manual,Third Owner,Mahindra,11.289794413577894,True
2012,115992,Diesel,Dealer,Automatic,Third Owner,Volvo,14.375126917328105,True
2008,100000,Diesel,Individual,Manual,Third Owner,Tata,11.156264806643742,True
1998,120000,Petrol,Individual,Manual,Second Owner,Honda,11.350418300109132,True
2003,50000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,10.778977123006351,True
2018,9422,Diesel,Individual,Automatic,First Owner,Bmw,15.38412668421143,True
2012,149000,Diesel,Individual,Automatic,Second Owner,Land rover,14.66950068935403,True
2007,52000,Petrol,Individual,Manual,First Owner,Maruti,11.002116507732017,True
2019,5000,Diesel,Individual,Automatic,First Owner,Toyota,14.946912992035967,True
2016,13000,Petrol,Dealer,Automatic,First Owner,Audi,16.001561947061912,True
2015,30000,Diesel,Dealer,Automatic,First Owner,Audi,14.978661680269907,True
2010,100000,Diesel,Dealer,Automatic,First Owner,Land rover,15.250595321348806,True
2019,12999,Diesel,Dealer,Automatic,First Owner,Bmw,15.38412668421143,True
2003,78098,Petrol,Individual,Manual,First Owner,Maruti,10.819798284210286,True
2016,77350,Diesel,Dealer,Automatic,First Owner,Mercedesbenz,15.520258832020865,True
2017,80000,Diesel,Individual,Automatic,First Owner,Volvo,15.319588176962746,True
2004,60000,Petrol,Individual,Manual,First Owner,Maruti,10.714439990727769,True
2013,57353,Petrol,Trustmark Dealer,Manual,First Owner,Honda,12.59473402514672,True
2002,116000,Diesel,Individual,Manual,Second Owner,Skoda,11.407576060361786,True
2016,70000,Petrol,Individual,Automatic,Second Owner,Toyota,14.731801689838349,True
2004,90000,Petrol,Individual,Manual,Second Owner,Maruti,10.53212287826962,True
2019,10000,Diesel,Individual,Automatic,First Owner,Ford,14.845130332288226,True
2005,150000,Petrol,Individual,Manual,Third Owner,Honda,11.082157933374816,True
